longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,,predicted
-118.39,34.12,29,6447,1012,2184,960,8.2816,500001,<1H OCEAN,,483020.6
-120.42,34.89,24,2020,307,855,283,5.0099,162500,<1H OCEAN,,221708.09
-118.45,34.25,36,1453,270,808,275,4.3839,204600,<1H OCEAN,,205706
-118.1,33.91,35,1653,325,1072,301,3.2708,159700,<1H OCEAN,,170623
-117.07,32.77,38,3779,614,1495,614,4.3529,184000,NEAR OCEAN,,212497
-118.04,33.93,35,1805,387,1505,366,4.1667,151900,<1H OCEAN,,164798
-122.27,37.83,49,1655,366,754,329,1.375,104900,NEAR BAY,,114046
-122.26,37.46,26,5067,750,1996,728,7.0001,500001,NEAR OCEAN,,434144.28
-122.03,37.36,16,2697,803,1369,723,4.4699,367400,<1H OCEAN,,280961.03
-117.61,33.43,24,2303,399,851,379,3.9875,346500,NEAR OCEAN,,258439.07
-118.32,34.06,36,3239,722,1383,612,4.5918,337000,<1H OCEAN,,408649.28
-121.23,37.96,44,2204,473,1277,435,1.5539,59200,INLAND,,69340
-121.2,37.81,26,395,74,193,72,7.3718,212500,INLAND,,270996
-121.91,37.24,24,5046,1001,2449,968,4.7118,274600,<1H OCEAN,,266551
-118.48,34.28,35,2132,368,1128,341,5.3107,227100,<1H OCEAN,,235190
-117.65,34.1,44,1526,337,831,326,3.0284,115800,INLAND,,124375
-121.59,39.82,12,1958,369,875,354,2.3507,97600,INLAND,,92847
-118.97,35.41,36,1896,315,937,303,3.996,85500,INLAND,,96797
-118.06,33.88,17,7187,1073,3844,1068,6.5901,337400,<1H OCEAN,,338403.03
-118.39,33.85,24,4373,871,1830,824,5.7128,366200,<1H OCEAN,,374039.09
-117.98,33.73,18,3833,,2192,996,3.4679,219700,<1H OCEAN,,197371
-118.32,33.79,35,2924,658,1675,602,3.8287,279900,<1H OCEAN,,296512
-120.27,34.72,14,1289,277,693,237,3.2569,230800,<1H OCEAN,,204461
-119.65,36.33,52,1257,257,624,243,2.3523,59100,INLAND,,64569
-119.86,36.82,12,1488,253,675,223,4.7622,89300,INLAND,,112824
-119.23,35.78,8,1612,343,1230,330,2.1806,67200,INLAND,,69609
-118.35,34.16,45,1390,281,538,270,4.2212,293800,<1H OCEAN,,312614.03
-120.94,37.68,4,13315,2424,6420,2289,4.2471,162100,INLAND,,170627
-118.99,35.24,40,282,59,213,71,2.35,91700,INLAND,,78535
-121.11,37.47,12,2263,410,913,330,3.5795,145600,INLAND,,137369
-118.02,34.08,28,2769,631,2452,581,2.6071,175900,INLAND,,172992
-120.17,39.33,10,614,141,195,95,0.9283,116300,INLAND,,102704
-118.35,34.02,34,3978,1073,2725,1035,1.7622,167900,<1H OCEAN,,143769
-123.34,39.5,15,2342,535,1064,433,1.8967,96600,INLAND,,87371
-122.24,40.18,39,2191,493,1307,499,1.6483,60800,INLAND,,60508
-122.03,37.36,28,2490,345,948,361,6.4913,411900,<1H OCEAN,,369103.04
-117.09,32.58,12,2565,567,1785,545,3.0273,135300,NEAR OCEAN,,131954
-118.33,34.18,45,1552,315,785,316,3.7411,235500,<1H OCEAN,,230648.01
-121.44,38.53,37,1951,432,1089,411,2.3272,80600,INLAND,,90272
-119.7,34.43,35,1402,369,654,385,2.6205,318800,<1H OCEAN,,321848.1
-117.15,34.22,10,1039,174,317,109,7.2371,171900,INLAND,,243299
-118.37,33.87,18,2516,485,1128,433,5.0114,338600,<1H OCEAN,,332238
-118.01,33.85,29,3061,612,2396,640,4.6326,195200,<1H OCEAN,,201521
-122.32,37.94,47,1911,283,697,275,6.2712,267700,NEAR BAY,,343277.07
-117.96,33.94,34,2228,399,1159,378,4.8906,228900,<1H OCEAN,,209523
-117.96,34.14,33,1994,405,993,403,3.766,163900,INLAND,,169949
-117.55,34,17,3583,700,1587,719,2.6979,75000,INLAND,,114519
-122.28,37.86,41,2214,550,1213,568,2.2845,153100,NEAR BAY,,162601
-117.43,34.07,18,2453,537,1503,500,2.3768,95300,INLAND,,110847
-117.21,33.34,10,5294,817,2312,810,5.4563,325700,<1H OCEAN,,315238.04
-120.68,37.47,33,1028,226,658,197,2.3043,66300,INLAND,,103838
-122.83,38.96,15,1318,296,567,276,1.8692,93800,INLAND,,83735
-122.22,37.37,26,440,202,322,218,5.1831,350000,NEAR OCEAN,,401855.3
-116.87,32.75,15,2053,321,993,309,5.5164,248900,<1H OCEAN,,191612
-118.39,33.79,30,4402,563,1582,551,10.898,500001,NEAR OCEAN,,500001
-117.13,32.74,46,3355,768,1457,708,2.6604,170100,NEAR OCEAN,,170020
-122.45,37.74,38,5688,930,2263,908,6.203,346800,NEAR BAY,,416778.18
-122.47,38.29,14,3732,846,1277,775,2.5658,208000,NEAR BAY,,193861
-122.54,37.95,38,2310,400,971,386,5.697,435700,NEAR BAY,,392079.02
-123.1,38.79,20,3109,712,1643,638,2.8344,164400,<1H OCEAN,,146818
-117.07,32.56,9,3648,895,3293,840,3.0992,142600,NEAR OCEAN,,158066
-118.43,34.08,46,778,90,238,93,15.0001,500001,<1H OCEAN,,480113.76
-122.05,36.97,16,3363,611,1603,556,4.2542,294100,NEAR OCEAN,,277497
-122.25,37.49,43,2607,477,1225,461,4.224,349600,NEAR OCEAN,,343110.01
-117.87,34.14,30,2495,586,1139,559,2.9375,209200,INLAND,,172156
-118.2,34.05,42,1703,586,2490,581,2.02,147200,<1H OCEAN,,143441
-121.32,37.94,36,40,10,64,14,2.625,55000,INLAND,,167270.15
-120.96,38.66,11,2339,436,1062,380,3.9036,180800,INLAND,,160382
-120.43,34.96,24,2739,414,1171,413,4.8155,162900,<1H OCEAN,,208084
-122.28,37.9,52,2003,250,658,244,10.0825,397000,NEAR BAY,,493373.93
-122,37.08,17,4154,739,2149,693,5.5919,373400,NEAR OCEAN,,299143
-118.34,33.87,34,1069,217,601,212,4.6406,255900,<1H OCEAN,,282006
-118.52,34.21,36,1328,287,823,273,4.5648,193700,<1H OCEAN,,204671
-118.22,34.09,42,1706,488,1941,447,2.5213,149700,<1H OCEAN,,151247
-118.27,34.1,51,3149,519,1082,510,6.4459,421600,<1H OCEAN,,465497.53
-117.58,34.02,4,5998,1092,3182,1042,5.2692,174800,INLAND,,178614
-118.22,34.08,31,394,117,573,131,1.8173,154200,<1H OCEAN,,140976
-121.78,36.93,21,2794,662,2236,565,2.4053,178400,<1H OCEAN,,158168
-117.36,33.18,39,1546,291,833,308,2.8893,185400,NEAR OCEAN,,237486
-119.01,35.36,24,1941,484,1277,435,1.056,51600,INLAND,,56487
-117.81,34.11,21,3481,808,1866,746,3.6201,150400,INLAND,,169109
-118.1,34.02,33,1143,172,508,174,4.9107,279900,<1H OCEAN,,201255
-117.03,32.96,16,3424,698,1940,645,4.121,182100,<1H OCEAN,,173782
-122.23,39.75,16,2026,396,1031,382,1.9375,73100,INLAND,,84754
-121.96,37.1,20,922,155,361,135,6.3617,331500,<1H OCEAN,,314996
-121.06,39.04,15,1999,287,585,246,5.5161,361900,INLAND,,203743
-118.1,34.09,46,2822,525,1434,520,3.8906,238300,<1H OCEAN,,243766.01
-118.32,33.95,44,2131,360,1040,330,5.0912,169800,<1H OCEAN,,230589.02
-122.21,37.44,35,1140,193,486,199,4.6908,500001,NEAR OCEAN,,335168.18
-118.19,34.1,39,2054,423,1205,403,4.239,213000,<1H OCEAN,,215865
-122.38,40.09,16,2077,388,1155,389,3.1361,84800,INLAND,,105520
-117.3,33.06,31,2128,520,1049,485,4.027,290000,NEAR OCEAN,,330376.21
-122.13,37.71,44,1421,298,609,270,3.5781,180000,NEAR BAY,,190807
-118.29,33.98,44,2261,555,1348,455,1.9125,97200,<1H OCEAN,,107360
-121.53,39.52,30,1030,161,448,159,2.4821,73800,INLAND,,70807
-120.47,34.65,16,2549,428,1486,432,4.2875,150700,NEAR OCEAN,,178050
-118.3,34,52,1718,354,1026,312,2,128000,<1H OCEAN,,114408
-118.22,33.8,33,1984,477,1764,440,3.875,165100,NEAR OCEAN,,175792.01
-118.27,33.97,39,2569,688,2601,630,2.0754,101400,<1H OCEAN,,112595
-118.34,34.06,52,1311,310,707,290,3.4812,432800,<1H OCEAN,,394599.09
-119.21,34.18,13,6103,1319,2986,1212,3.9718,215200,NEAR OCEAN,,263338.08
-117.83,33.81,24,3550,895,2828,834,2.8403,225600,<1H OCEAN,,179777
-118.85,34.18,11,5873,1455,3089,1365,3.5504,173800,<1H OCEAN,,235836.02
-118.37,36.19,10,443,111,48,21,3.125,71300,INLAND,,82306
-121.85,37.39,15,8748,1547,4784,1524,5.8322,276600,<1H OCEAN,,268406
-118.37,33.85,25,5622,998,2537,1009,5.785,395300,<1H OCEAN,,334745.03
-118.96,35.37,32,1025,259,874,236,1.9612,53400,INLAND,,58937
-120.64,35.65,9,3466,673,2356,619,2.9926,158200,<1H OCEAN,,165846
-118.41,34.19,42,779,145,450,148,3.9792,193800,<1H OCEAN,,208418
-122.53,37.95,22,7446,1979,2980,1888,3.5838,271300,NEAR BAY,,274751.01
-117.33,34.15,28,1473,333,1196,312,1.6993,67800,INLAND,,73863
-117.23,33.57,6,13724,2269,5860,1986,3.9617,183000,<1H OCEAN,,175886
-120.44,37.28,12,2855,598,1658,586,2.3929,81100,INLAND,,99174
-117.2,33.7,23,6323,1196,1984,1124,2.3276,92400,<1H OCEAN,,136067
-121.34,38.64,12,2772,578,1335,565,3.8068,161000,INLAND,,143221
-117.28,34.12,36,2991,822,2378,751,1.3571,70600,INLAND,,72802
-119.48,36.5,32,3451,625,1968,574,2.9554,110300,INLAND,,77821
-122.04,37.04,17,4977,994,1987,947,3.8854,312300,NEAR OCEAN,,263093.02
-118.45,34.03,39,1657,402,931,363,3.7813,336300,<1H OCEAN,,398523.32
-117.47,33.92,18,3869,773,2500,726,3.6583,126100,INLAND,,124625
-121.94,37.75,16,5121,735,2464,761,6.6204,296100,<1H OCEAN,,314265.01
-117.28,34.51,10,4676,884,2845,812,3.0181,100400,INLAND,,99761
-120.95,35.44,30,6346,1410,1769,887,2.6864,283600,NEAR OCEAN,,237187
-117.9,33.97,23,7353,1255,4014,1124,5.4155,213200,<1H OCEAN,,269852
-120.77,38.38,15,4221,816,1737,743,2.3125,128600,INLAND,,115764
-116.93,32.8,19,1867,538,1219,468,2.0685,130000,<1H OCEAN,,125712
-118.13,33.81,34,1903,343,928,349,5.395,241900,<1H OCEAN,,251978
-117.4,33.95,46,2189,423,866,389,3.1384,111500,INLAND,,123511
-122.07,37.96,34,1692,290,836,289,5.0172,197100,NEAR BAY,,211893.01
-123.71,39.88,42,1518,383,656,303,1.4952,69800,NEAR OCEAN,,99320
-122.72,38.58,4,7042,1100,2936,1043,5.0555,240800,<1H OCEAN,,225222.01
-117.77,33.72,9,2153,316,954,324,7.8139,304700,<1H OCEAN,,351553.03
-117.93,34.07,34,1409,305,819,273,3.3977,188800,<1H OCEAN,,192386
-118.41,34.07,52,1202,142,408,138,15.0001,500001,<1H OCEAN,,499831.99
-120.07,36.97,28,1563,403,1564,408,1.5662,48000,INLAND,,53903
-119.27,36.05,29,1016,174,481,140,2.2917,112500,INLAND,,65605
-120.82,37.05,15,1385,288,775,255,1.933,140600,INLAND,,87657
-121.43,38.54,42,3321,688,1346,658,2.4618,101300,INLAND,,106148
-120.44,34.96,30,1685,315,1290,368,3.4722,112500,<1H OCEAN,,155439
-120.35,37.95,13,2104,407,960,401,2.4,177000,INLAND,,113629
-118.17,33.95,23,1991,584,1380,535,1.9107,181900,<1H OCEAN,,154602
-121.57,39.5,31,2023,469,1073,436,1.5714,56100,INLAND,,57000
-117.82,33.88,18,1982,300,1027,324,7.0526,327500,<1H OCEAN,,285653
-121.9,37.44,4,1646,408,853,410,5.0821,265500,<1H OCEAN,,235956.01
-121.45,38.54,38,1865,384,1052,354,1.7891,60500,INLAND,,66520
-119.81,36.83,19,6789,1200,2325,1109,4.049,126000,INLAND,,117821
-118.36,33.8,34,2629,369,966,375,10.1241,500001,NEAR OCEAN,,498570.98
-117.68,33.59,8,2327,263,899,236,14.9009,500001,<1H OCEAN,,491593.45
-118.04,33.88,17,4807,838,3059,853,5.7619,297300,<1H OCEAN,,285234
